loan_id,note_available,deed_available,title_available,appraisal_available,insurance_available,document_status,last_verified_at
L000450,Y,Y,Y,N,Y,MISSING,2025-09-10
L000451,N,N,Y,Y,N,MISSING,2026-03-29
L000452,Y,Y,N,N,N,COMPLETE,2026-03-31
L000453,Y,N,N,Y,Y,COMPLETE,2026-04-23
L000454,Y,N,Y,N,Y,COMPLETE,2026-05-25
L000455,N,N,Y,N,Y,MISSING,2025-11-03
L000456,Y,Y,N,Y,Y,COMPLETE,2026-03-09
L000457,Y,Y,Y,N,Y,COMPLETE,2026-06-11
L000458,Y,N,Y,N,Y,COMPLETE,2025-11-12
L000459,N,N,Y,N,N,INCOMPLETE,2025-11-28
L000460,Y,Y,Y,N,Y,COMPLETE,2025-12-08
L000461,N,N,Y,N,N,COMPLETE,2025-10-13
L000462,Y,Y,Y,Y,Y,COMPLETE,2026-06-01
L000463,N,N,Y,Y,N,COMPLETE,2026-03-15
L000464,N,Y,Y,N,N,COMPLETE,2026-08-15
L000465,Y,Y,Y,Y,N,INCOMPLETE,2026-01-01
L000466,Y,Y,Y,N,Y,COMPLETE,2025-09-06
L000467,Y,N,Y,Y,Y,COMPLETE,2025-11-27
L000468,Y,N,N,Y,Y,COMPLETE,2026-07-15
L000469,Y,N,Y,Y,N,COMPLETE,2026-06-27
L000470,Y,N,Y,N,Y,INCOMPLETE,2026-07-09
L000471,Y,N,Y,N,Y,COMPLETE,2026-07-22
L000472,N,N,Y,Y,Y,COMPLETE,2026-08-10
L000473,N,Y,Y,Y,Y,COMPLETE,2025-08-31
L000474,N,Y,N,Y,Y,INCOMPLETE,2025-12-21
L000475,Y,Y,Y,Y,N,INCOMPLETE,2026-03-29
L000476,Y,N,Y,Y,N,COMPLETE,2026-06-05
L000477,Y,N,Y,Y,Y,COMPLETE,2025-11-29
L000478,N,N,Y,N,N,COMPLETE,2026-01-30
L000479,Y,Y,Y,Y,Y,COMPLETE,2025-11-20
L000480,Y,N,N,Y,Y,INCOMPLETE,2025-08-25
L000481,Y,Y,Y,N,Y,COMPLETE,2026-03-16
L000482,Y,Y,Y,N,Y,COMPLETE,2025-10-07
L000483,N,Y,Y,N,Y,COMPLETE,2026-05-19
L000484,Y,N,N,N,Y,COMPLETE,2026-03-10
L000485,Y,N,N,Y,Y,COMPLETE,2026-08-20
L000486,Y,Y,Y,N,Y,INCOMPLETE,2026-07-26
L000487,N,N,N,Y,N,INCOMPLETE,2026-03-05
L000488,Y,Y,Y,N,Y,COMPLETE,2026-06-26
L000489,Y,Y,N,Y,Y,MISSING,2026-08-14
L000490,Y,N,Y,N,Y,COMPLETE,2026-05-29
L000491,N,N,N,N,Y,COMPLETE,2026-03-29
L000492,Y,N,Y,N,Y,COMPLETE,2026-04-13
L000493,Y,N,N,N,Y,COMPLETE,2026-07-24
L000494,Y,Y,Y,N,Y,COMPLETE,2025-09-16
L000495,N,Y,N,N,Y,INCOMPLETE,2026-01-09
L000496,Y,N,Y,N,Y,COMPLETE,2025-11-09
L000497,Y,N,Y,Y,Y,MISSING,2025-09-21
L000498,Y,N,Y,Y,Y,COMPLETE,2026-04-11
L000499,Y,N,Y,N,Y,COMPLETE,2026-05-01
L000500,N,N,N,N,Y,COMPLETE,2026-03-17
L000501,Y,Y,N,Y,Y,COMPLETE,2025-12-14
L000502,N,Y,Y,N,Y,COMPLETE,2026-06-29
L000503,Y,Y,N,N,N,COMPLETE,2025-12-08
L000504,Y,N,Y,N,Y,COMPLETE,2025-10-08
L000505,N,N,N,Y,Y,COMPLETE,2026-06-18
L000506,Y,Y,Y,N,Y,COMPLETE,2026-06-25
L000507,Y,Y,Y,N,N,INCOMPLETE,2026-06-29
L000508,Y,Y,N,Y,N,COMPLETE,2025-12-19
L000509,Y,Y,N,N,Y,INCOMPLETE,2026-07-28
L000510,Y,Y,Y,N,N,COMPLETE,2026-04-09
L000511,Y,N,N,N,N,INCOMPLETE,2025-11-21
L000512,Y,Y,Y,N,Y,COMPLETE,2026-01-29
L000513,Y,Y,Y,N,Y,COMPLETE,2025-11-11
L000514,Y,Y,Y,N,N,COMPLETE,2026-07-20
L000515,N,Y,Y,N,N,COMPLETE,2026-04-23
L000516,N,Y,Y,N,Y,COMPLETE,2025-10-10
L000517,Y,N,Y,N,Y,INCOMPLETE,2026-07-16
L000518,N,N,Y,N,Y,INCOMPLETE,2026-02-28
L000519,N,Y,N,Y,Y,INCOMPLETE,2026-04-22
L000520,N,N,Y,Y,Y,COMPLETE,2026-05-25
L000521,Y,N,Y,Y,N,MISSING,2026-08-14
L000522,N,N,Y,N,Y,COMPLETE,2025-12-30
L000523,Y,N,Y,N,Y,COMPLETE,2026-03-30
L000524,Y,Y,Y,N,Y,COMPLETE,2026-03-12
L000525,Y,N,Y,N,N,COMPLETE,2026-08-11
L000526,Y,N,N,Y,Y,COMPLETE,2026-03-17
L000527,N,Y,N,Y,Y,COMPLETE,2025-09-09
L000528,Y,N,Y,N,Y,COMPLETE,2025-12-28
L000529,Y,N,Y,Y,Y,COMPLETE,2026-06-21
L000530,N,Y,Y,N,Y,COMPLETE,2026-06-27
L000531,Y,Y,Y,N,N,INCOMPLETE,2026-06-25
L000532,Y,N,Y,N,Y,COMPLETE,2025-11-20
L000533,Y,N,Y,N,Y,COMPLETE,2026-06-04
L000534,Y,N,Y,N,Y,COMPLETE,2026-05-02
L000535,Y,Y,Y,N,Y,MISSING,2026-02-21
L000536,Y,N,Y,Y,Y,COMPLETE,2026-06-05
L000537,Y,N,Y,Y,Y,COMPLETE,2025-12-25
L000538,Y,Y,Y,Y,Y,MISSING,2025-10-10
L000539,Y,N,Y,N,Y,COMPLETE,2026-07-08
L000540,Y,Y,Y,Y,N,MISSING,2026-08-23
L000541,N,N,Y,N,N,MISSING,2026-07-21
L000542,Y,N,Y,Y,Y,COMPLETE,2025-08-31
L000543,Y,N,Y,N,Y,COMPLETE,2025-10-15
L000544,Y,Y,Y,N,Y,COMPLETE,2026-05-12
L000545,Y,N,Y,N,Y,COMPLETE,2026-08-01
L000546,N,Y,Y,N,Y,COMPLETE,2026-05-11
L000547,Y,Y,Y,N,Y,COMPLETE,2026-07-20
L000548,Y,N,N,N,Y,INCOMPLETE,2026-01-16
L000549,Y,Y,N,N,N,COMPLETE,2026-07-12
L000550,Y,N,Y,N,Y,COMPLETE,2026-06-25
L000551,Y,Y,Y,Y,Y,COMPLETE,2026-04-27
L000552,Y,N,N,N,Y,COMPLETE,2025-09-14
L000553,Y,Y,Y,Y,Y,COMPLETE,2026-05-09
L000554,Y,Y,Y,Y,N,COMPLETE,2026-08-22
L000555,Y,N,Y,N,N,COMPLETE,2026-06-07
L000556,N,Y,Y,Y,Y,INCOMPLETE,2026-04-21
L000557,N,N,N,N,Y,COMPLETE,2025-12-12
L000558,Y,N,Y,N,Y,COMPLETE,2025-12-23
L000559,N,N,Y,N,N,COMPLETE,2026-05-11
L000560,N,Y,Y,N,N,MISSING,2026-06-10
L000561,Y,Y,Y,N,Y,COMPLETE,2025-10-17
L000562,Y,N,N,N,Y,COMPLETE,2025-12-29
L000563,Y,Y,N,Y,Y,COMPLETE,2025-12-08
L000564,N,Y,N,N,N,MISSING,2025-09-07
L000565,Y,Y,N,N,N,COMPLETE,2026-08-17
L000566,N,N,Y,Y,Y,COMPLETE,2026-03-18
L000567,Y,N,Y,N,N,COMPLETE,2026-03-12
L000568,Y,N,Y,N,Y,COMPLETE,2026-06-05
L000569,Y,Y,N,N,Y,COMPLETE,2026-06-22
L000570,Y,Y,Y,N,N,COMPLETE,2025-10-12
L000571,Y,N,Y,N,Y,COMPLETE,2026-08-02
L000572,Y,Y,Y,N,Y,MISSING,2026-03-15
L000573,N,N,Y,N,Y,COMPLETE,2026-05-06
L000574,Y,Y,N,N,Y,COMPLETE,2026-01-24
L000575,Y,Y,Y,N,N,INCOMPLETE,2025-12-24
L000576,Y,Y,Y,N,Y,COMPLETE,2026-08-20
L000577,Y,N,Y,N,Y,COMPLETE,2026-04-23
L000578,N,Y,Y,N,N,INCOMPLETE,2025-11-28
L000579,N,Y,Y,Y,Y,INCOMPLETE,2026-03-14
L000580,N,Y,Y,N,N,COMPLETE,2026-07-16
L000581,Y,Y,Y,N,N,COMPLETE,2026-06-15
L000582,Y,N,Y,N,Y,COMPLETE,2026-06-29
L000583,N,Y,N,Y,N,INCOMPLETE,2026-02-25
L000584,N,N,N,Y,Y,COMPLETE,2026-08-17
L000585,N,N,N,N,Y,INCOMPLETE,2026-03-07
L000586,N,N,Y,N,Y,COMPLETE,2025-10-21
L000587,N,N,N,N,N,COMPLETE,2026-03-02
L000588,Y,Y,Y,N,N,INCOMPLETE,2026-01-31
L000589,N,Y,Y,N,N,COMPLETE,2025-12-30
L000590,Y,Y,N,N,N,COMPLETE,2026-01-15
L000591,Y,Y,Y,N,Y,COMPLETE,2026-06-02
L000592,N,Y,N,N,N,COMPLETE,2026-04-25
L000593,Y,Y,N,Y,Y,COMPLETE,2026-04-17
L000594,N,N,Y,N,Y,INCOMPLETE,2026-07-11
L000595,Y,Y,Y,N,Y,COMPLETE,2025-09-30
L000596,Y,N,Y,N,N,MISSING,2025-08-28
L000597,Y,Y,N,Y,Y,COMPLETE,2026-02-18
L000598,Y,N,Y,Y,N,COMPLETE,2026-01-17
L000599,N,N,N,N,Y,COMPLETE,2026-01-14
L000600,Y,N,Y,N,Y,COMPLETE,2025-10-23
L000601,Y,N,N,N,N,COMPLETE,2026-03-12
L000602,Y,N,Y,N,Y,COMPLETE,2026-07-06
L000603,N,N,N,Y,N,COMPLETE,2025-12-16
L000604,Y,Y,Y,N,Y,COMPLETE,2026-06-19
L000605,Y,N,Y,Y,Y,INCOMPLETE,2026-05-15
L000606,Y,Y,N,N,Y,INCOMPLETE,2026-02-01
L000607,Y,Y,N,Y,N,COMPLETE,2025-09-17
L000608,N,Y,Y,N,Y,COMPLETE,2026-04-17
L000609,Y,Y,Y,Y,Y,COMPLETE,2026-05-26
L000610,Y,N,N,N,Y,COMPLETE,2025-11-03
L000611,Y,N,Y,Y,Y,COMPLETE,2026-02-23
L000612,Y,N,Y,N,Y,INCOMPLETE,2025-09-14
L000613,Y,Y,Y,N,Y,COMPLETE,2026-02-14
L000614,Y,Y,N,N,Y,COMPLETE,2025-11-10
L000615,N,N,Y,Y,Y,COMPLETE,2025-09-14
L000616,Y,N,Y,N,N,INCOMPLETE,2026-06-01
L000617,Y,Y,Y,N,Y,COMPLETE,2026-08-14
L000618,Y,Y,N,N,N,COMPLETE,2025-09-29
L000619,Y,Y,Y,N,Y,COMPLETE,2026-03-19
L000620,Y,N,N,N,N,COMPLETE,2026-04-02
L000621,Y,N,N,N,Y,COMPLETE,2025-10-03
L000622,N,N,N,Y,N,INCOMPLETE,2026-05-08
L000623,Y,Y,Y,N,Y,COMPLETE,2025-09-21
L000624,Y,Y,Y,N,N,COMPLETE,2026-03-28
L000625,Y,Y,Y,N,N,COMPLETE,2026-02-11
L000626,Y,Y,Y,Y,N,COMPLETE,2026-02-23
L000627,Y,N,Y,Y,Y,COMPLETE,2026-07-19
L000628,Y,N,Y,N,N,COMPLETE,2026-07-10
L000629,Y,N,Y,N,N,MISSING,2026-02-12
L000630,Y,Y,Y,Y,Y,COMPLETE,2026-04-11
L000631,Y,Y,N,N,Y,COMPLETE,2026-08-14
L000632,N,Y,Y,N,Y,COMPLETE,2025-10-16
L000633,Y,Y,Y,N,N,COMPLETE,2025-09-23
L000634,Y,N,Y,N,Y,COMPLETE,2025-09-05
L000635,Y,Y,Y,Y,N,COMPLETE,2026-07-19
L000636,Y,N,Y,N,Y,COMPLETE,2025-09-21
L000637,Y,N,Y,N,Y,MISSING,2025-12-09
L000638,Y,N,N,Y,Y,COMPLETE,2026-08-10
L000639,N,Y,Y,N,N,COMPLETE,2026-01-31
L000640,Y,N,Y,Y,Y,COMPLETE,2026-04-16
L000641,Y,Y,N,N,Y,COMPLETE,2025-12-14
L000642,Y,N,N,Y,Y,COMPLETE,2025-09-30
L000643,Y,N,N,N,N,COMPLETE,2025-08-31
L000644,Y,N,Y,N,N,INCOMPLETE,2025-12-02
L000645,Y,N,Y,N,Y,INCOMPLETE,2025-10-28
L000646,Y,N,N,N,N,COMPLETE,2026-06-01
L000647,N,Y,Y,Y,Y,INCOMPLETE,2026-02-25
L000648,Y,N,Y,Y,Y,MISSING,2026-01-08
L000649,N,Y,Y,N,Y,COMPLETE,2026-05-18
L000650,Y,Y,N,N,Y,COMPLETE,2025-09-18
L000651,Y,N,N,N,Y,INCOMPLETE,2025-10-13
L000652,N,Y,N,N,Y,COMPLETE,2026-06-13
L000653,Y,Y,Y,Y,Y,COMPLETE,2026-01-19
L000654,Y,N,N,Y,Y,COMPLETE,2025-10-03
L000655,Y,N,Y,N,N,COMPLETE,2025-09-26
L000656,N,Y,Y,N,N,COMPLETE,2026-05-06
L000657,N,N,Y,Y,N,COMPLETE,2025-10-04
L000658,Y,N,Y,N,Y,INCOMPLETE,2026-05-25
L000659,N,N,Y,Y,Y,COMPLETE,2026-02-27
L000660,Y,N,Y,N,Y,COMPLETE,2025-09-22
L000661,Y,N,Y,N,N,COMPLETE,2026-07-06
L000662,Y,N,Y,N,N,COMPLETE,2026-06-27
L000663,N,N,Y,N,N,MISSING,2025-09-25
L000664,N,Y,Y,N,Y,COMPLETE,2026-08-21
L000665,Y,N,N,N,Y,INCOMPLETE,2026-01-06
L000666,Y,N,Y,Y,N,COMPLETE,2026-03-13
L000667,Y,Y,Y,Y,N,MISSING,2026-08-09
L000668,Y,Y,N,N,Y,MISSING,2025-12-23
L000669,Y,Y,Y,N,N,COMPLETE,2026-01-17
L000670,Y,N,N,N,Y,COMPLETE,2026-08-20
L000671,Y,N,Y,N,Y,COMPLETE,2026-08-24
L000672,Y,Y,Y,N,N,COMPLETE,2026-01-04
L000673,N,N,N,N,Y,INCOMPLETE,2026-02-03
L000674,Y,N,Y,N,Y,COMPLETE,2025-12-23
L000675,N,N,Y,Y,Y,COMPLETE,2025-12-01
L000676,Y,Y,Y,Y,Y,COMPLETE,2026-03-25
L000677,N,Y,Y,N,N,COMPLETE,2026-08-13
L000678,N,Y,N,N,Y,INCOMPLETE,2025-12-31
L000679,Y,Y,Y,Y,Y,COMPLETE,2025-10-23
L000680,Y,N,Y,N,Y,COMPLETE,2026-05-13
L000681,Y,N,Y,N,Y,COMPLETE,2026-07-30
L000682,N,N,Y,N,N,COMPLETE,2026-01-15
L000683,N,Y,Y,N,Y,COMPLETE,2026-06-24
L000684,N,N,N,N,Y,COMPLETE,2026-07-02
L000685,Y,N,N,Y,N,MISSING,2026-02-07
L000686,Y,N,Y,N,Y,INCOMPLETE,2026-06-09
L000687,Y,Y,Y,N,N,INCOMPLETE,2025-11-20
L000688,Y,N,N,N,N,COMPLETE,2025-12-09
L000689,Y,N,Y,N,Y,COMPLETE,2025-11-26
L000690,N,N,Y,N,Y,MISSING,2026-05-21
L000691,Y,Y,Y,N,N,COMPLETE,2026-03-11
L000692,Y,N,Y,N,Y,COMPLETE,2026-05-17
L000693,Y,N,N,Y,N,COMPLETE,2026-07-22
L000694,Y,N,N,N,N,MISSING,2026-04-05
L000695,Y,Y,Y,N,Y,COMPLETE,2025-10-17
L000696,Y,Y,N,Y,Y,INCOMPLETE,2026-07-27
L000697,Y,Y,Y,N,Y,COMPLETE,2025-11-06
L000698,N,Y,N,N,Y,INCOMPLETE,2026-06-25
L000699,Y,N,Y,N,N,COMPLETE,2026-04-23
L000700,N,Y,Y,N,Y,COMPLETE,2026-03-22
L000701,N,N,Y,N,Y,COMPLETE,2026-02-28
L000702,Y,N,Y,N,Y,COMPLETE,2026-06-06
L000703,N,Y,Y,N,N,COMPLETE,2025-11-24
L000704,Y,Y,N,N,Y,COMPLETE,2025-11-30
L000705,Y,N,Y,Y,Y,INCOMPLETE,2026-01-18
L000706,N,Y,Y,N,Y,COMPLETE,2025-10-17
L000707,Y,Y,Y,N,Y,COMPLETE,2026-08-09
L000708,Y,N,Y,N,N,COMPLETE,2025-10-09
L000709,N,N,Y,N,Y,COMPLETE,2026-08-21
L000710,Y,Y,Y,Y,Y,COMPLETE,2025-12-01
L000711,N,Y,N,N,N,COMPLETE,2026-01-14
L000712,Y,Y,Y,N,Y,COMPLETE,2025-12-28
L000713,N,N,Y,N,Y,COMPLETE,2026-02-28
L000714,Y,Y,Y,Y,N,COMPLETE,2026-07-13
L000715,Y,Y,N,Y,Y,COMPLETE,2025-10-10
L000716,Y,Y,N,N,N,INCOMPLETE,2026-07-27
L000717,Y,N,Y,N,N,COMPLETE,2025-10-13
L000718,Y,N,Y,Y,N,COMPLETE,2025-11-22
L000719,Y,Y,Y,N,N,COMPLETE,2026-06-24
L000720,Y,N,N,N,N,COMPLETE,2026-07-04
L000721,Y,Y,Y,N,N,INCOMPLETE,2026-02-20
L000722,Y,Y,Y,Y,Y,COMPLETE,2025-12-09
L000723,Y,N,Y,Y,Y,COMPLETE,2026-05-31
L000724,Y,Y,Y,Y,Y,COMPLETE,2025-09-01
L000725,Y,Y,Y,N,Y,INCOMPLETE,2025-12-20
L000726,N,N,N,Y,N,COMPLETE,2026-05-15
L000727,Y,N,Y,Y,Y,COMPLETE,2025-09-05
L000728,Y,N,Y,N,N,COMPLETE,2026-03-28
L000729,Y,N,Y,N,Y,COMPLETE,2026-02-28
L000730,N,Y,Y,N,N,COMPLETE,2026-01-17
L000731,Y,N,N,N,Y,COMPLETE,2025-11-29
L000732,Y,N,Y,N,Y,INCOMPLETE,2026-06-16
L000733,N,Y,Y,N,N,COMPLETE,2026-01-27
L000734,N,N,Y,Y,Y,COMPLETE,2026-06-16
L000735,N,Y,Y,N,Y,INCOMPLETE,2026-03-31
L000736,N,N,Y,N,N,COMPLETE,2025-09-02
L000737,N,Y,N,Y,Y,MISSING,2025-10-26
L000738,N,Y,Y,N,Y,COMPLETE,2026-05-22
L000739,Y,Y,Y,N,Y,MISSING,2025-10-15
L000741,N,N,N,N,N,COMPLETE,2026-05-17
L000742,N,N,Y,N,Y,COMPLETE,2025-10-08
L000743,Y,N,Y,Y,Y,COMPLETE,2025-09-22
L000744,Y,N,N,N,N,COMPLETE,2026-06-18
L000745,N,Y,Y,N,Y,COMPLETE,2025-11-11
L000746,N,Y,N,N,N,INCOMPLETE,2026-05-13
L000747,Y,N,Y,Y,Y,COMPLETE,2025-11-27
L000748,Y,Y,Y,Y,Y,COMPLETE,2025-10-30
L000749,N,Y,Y,N,Y,COMPLETE,2026-02-14
L000750,N,Y,Y,Y,Y,COMPLETE,2025-10-04
L000751,Y,N,N,N,Y,COMPLETE,2025-09-25
L000752,N,Y,Y,N,Y,COMPLETE,2026-02-09
L000753,Y,Y,Y,Y,Y,COMPLETE,2025-11-27
L000754,Y,N,Y,N,Y,COMPLETE,2026-08-23
L000755,N,Y,Y,N,N,COMPLETE,2026-05-12
L000756,N,Y,Y,N,N,COMPLETE,2025-09-26
L000757,Y,N,Y,N,Y,INCOMPLETE,2025-12-18
L000758,Y,Y,Y,Y,Y,INCOMPLETE,2025-08-26
L000759,N,N,N,Y,N,INCOMPLETE,2026-05-02
L000760,Y,Y,Y,N,Y,COMPLETE,2026-03-25
L000761,Y,Y,N,N,Y,COMPLETE,2026-02-13
L000762,Y,Y,Y,N,Y,COMPLETE,2026-08-08
L000763,Y,N,Y,N,Y,COMPLETE,2025-09-04
L000764,Y,Y,Y,Y,Y,COMPLETE,2025-09-04
L000765,N,N,N,Y,Y,COMPLETE,2025-09-07
L000766,Y,Y,Y,Y,Y,COMPLETE,2026-01-07
L000767,Y,N,Y,N,Y,INCOMPLETE,2025-12-15
L000768,Y,Y,Y,N,Y,COMPLETE,2026-05-31
L000769,Y,N,Y,Y,Y,COMPLETE,2026-03-01
L000770,Y,N,Y,N,Y,COMPLETE,2025-11-07
L000771,Y,Y,Y,Y,Y,MISSING,2026-08-15
L000772,Y,N,Y,N,Y,COMPLETE,2025-10-02
L000773,Y,Y,Y,N,N,COMPLETE,2026-05-06
L000774,N,Y,Y,Y,N,COMPLETE,2025-11-11
L000775,Y,N,Y,Y,Y,COMPLETE,2026-02-07
L000776,Y,Y,N,Y,Y,COMPLETE,2025-12-16
L000777,Y,Y,Y,N,Y,COMPLETE,2025-11-05
L000778,Y,N,Y,N,N,INCOMPLETE,2026-02-26
L000779,Y,Y,Y,N,Y,COMPLETE,2026-01-31
L000780,Y,N,Y,N,Y,COMPLETE,2025-11-02
L000781,Y,N,Y,N,Y,COMPLETE,2026-02-20
L000782,Y,N,Y,Y,Y,COMPLETE,2026-08-09
L000783,N,N,Y,Y,N,INCOMPLETE,2026-06-09
L000784,Y,Y,N,N,Y,COMPLETE,2026-05-13
L000785,Y,N,N,N,Y,COMPLETE,2026-07-30
L000786,Y,N,Y,N,N,MISSING,2026-02-20
L000787,N,N,Y,Y,N,COMPLETE,2026-03-14
L000788,Y,Y,Y,N,Y,COMPLETE,2026-06-13
L000789,N,N,Y,Y,Y,COMPLETE,2026-01-16
L000790,Y,Y,Y,N,Y,COMPLETE,2026-08-15
L000791,Y,N,Y,N,N,COMPLETE,2026-03-29
L000792,N,N,Y,Y,Y,COMPLETE,2025-09-28
L000793,Y,Y,Y,Y,Y,COMPLETE,2026-02-27
L000794,Y,Y,N,N,Y,INCOMPLETE,2026-06-28
L000795,N,N,Y,N,Y,COMPLETE,2025-11-01
L000796,Y,N,N,N,N,COMPLETE,2026-08-14
L000797,Y,N,Y,N,N,COMPLETE,2026-06-11
L000798,Y,Y,N,N,Y,COMPLETE,2025-10-03
L000799,N,Y,Y,Y,Y,COMPLETE,2025-11-13
L000800,N,Y,Y,Y,Y,INCOMPLETE,2026-03-04
L000801,Y,N,N,N,Y,COMPLETE,2026-03-28
L000802,Y,N,Y,N,N,MISSING,2026-03-26
L000803,Y,Y,Y,N,Y,COMPLETE,2026-02-24
L000804,Y,Y,Y,Y,N,COMPLETE,2026-08-15
L000805,N,N,Y,N,Y,MISSING,2026-01-19
L000806,Y,Y,N,N,Y,COMPLETE,2026-05-12
L000807,N,Y,Y,N,Y,COMPLETE,2026-06-04
L000808,Y,N,Y,N,N,COMPLETE,2025-08-26
L000809,N,N,N,Y,Y,INCOMPLETE,2026-01-22
L000810,Y,N,Y,Y,Y,COMPLETE,2026-01-17
L000811,Y,Y,Y,N,Y,COMPLETE,2026-05-13
L000812,Y,Y,Y,N,Y,COMPLETE,2026-05-21
L000813,Y,Y,Y,N,Y,COMPLETE,2026-04-10
L000814,Y,Y,N,Y,Y,COMPLETE,2026-02-26
L000815,Y,Y,Y,N,Y,COMPLETE,2026-05-08
L000816,N,Y,Y,N,Y,INCOMPLETE,2026-01-20
L000817,Y,N,Y,Y,Y,INCOMPLETE,2026-02-10
L000818,Y,N,Y,N,Y,INCOMPLETE,2025-12-22
L000819,N,N,N,N,Y,COMPLETE,2026-03-08
L000820,Y,N,Y,Y,N,COMPLETE,2025-09-26
L000821,Y,Y,Y,N,Y,INCOMPLETE,2025-10-31
L000822,Y,N,Y,Y,Y,COMPLETE,2025-10-07
L000823,Y,Y,Y,Y,N,COMPLETE,2026-06-07
L000824,Y,N,Y,Y,Y,COMPLETE,2025-09-14
L000825,N,N,Y,N,Y,INCOMPLETE,2025-11-09
L000826,Y,N,Y,N,Y,INCOMPLETE,2026-08-03
L000827,Y,Y,Y,N,Y,COMPLETE,2026-08-17
L000828,Y,Y,Y,N,N,COMPLETE,2026-07-02
L000829,N,N,N,N,N,COMPLETE,2025-09-06
L000830,Y,Y,Y,N,Y,INCOMPLETE,2026-07-04
L000831,N,Y,Y,N,Y,MISSING,2026-03-21
L000832,Y,N,Y,N,N,MISSING,2026-06-26
L000833,Y,Y,N,N,Y,COMPLETE,2025-09-29
L000834,Y,Y,Y,N,N,COMPLETE,2026-02-15
L000835,N,N,N,N,Y,COMPLETE,2025-12-31
L000836,Y,N,Y,N,Y,COMPLETE,2025-12-24
L000837,Y,Y,Y,Y,Y,INCOMPLETE,2026-05-19
L000838,Y,Y,Y,N,Y,INCOMPLETE,2025-09-09
L000839,Y,N,Y,N,Y,COMPLETE,2026-08-14
L000840,N,N,Y,Y,N,INCOMPLETE,2026-01-09
L000841,N,Y,N,Y,Y,INCOMPLETE,2025-10-07
L000842,Y,Y,N,Y,Y,COMPLETE,2026-05-21
L000843,Y,N,Y,N,Y,COMPLETE,2026-05-06
L000844,N,Y,Y,Y,Y,MISSING,2025-11-28
L000845,Y,Y,Y,Y,Y,COMPLETE,2025-09-13
L000846,N,Y,N,N,N,COMPLETE,2026-06-22
L000847,Y,Y,Y,N,Y,MISSING,2026-05-29
L000848,Y,N,Y,N,Y,COMPLETE,2026-04-29
L000849,Y,N,Y,N,Y,MISSING,2026-01-23
L000850,Y,N,Y,Y,N,COMPLETE,2026-02-03
L000851,Y,Y,N,N,Y,COMPLETE,2026-08-15
L000852,Y,N,Y,N,Y,COMPLETE,2026-03-25
L000853,Y,N,Y,N,Y,MISSING,2026-08-19
L000854,Y,N,Y,N,N,COMPLETE,2025-09-15
L000855,Y,N,Y,N,N,COMPLETE,2025-11-28
L000856,Y,N,Y,N,Y,COMPLETE,2026-02-12
L000857,Y,N,Y,N,Y,COMPLETE,2025-11-09
L000858,Y,Y,Y,Y,Y,MISSING,2026-06-08
L000859,Y,Y,Y,N,Y,COMPLETE,2026-08-23
L000860,Y,N,Y,N,Y,COMPLETE,2025-12-17
L000861,N,N,Y,N,Y,COMPLETE,2025-09-05
L000862,N,Y,Y,Y,N,COMPLETE,2026-06-18
L000863,Y,N,Y,N,Y,COMPLETE,2026-05-10
L000864,Y,N,Y,Y,Y,COMPLETE,2026-02-02
L000865,N,Y,N,Y,N,COMPLETE,2025-12-10
L000866,Y,Y,N,N,Y,COMPLETE,2026-06-06
L000867,N,N,Y,N,Y,COMPLETE,2025-09-05
L000868,Y,Y,Y,N,N,COMPLETE,2025-10-28
L000869,Y,N,N,N,Y,COMPLETE,2025-12-06
L000870,Y,N,Y,N,N,COMPLETE,2025-10-04
L000871,Y,Y,Y,Y,Y,COMPLETE,2025-12-03
L000872,Y,N,N,N,Y,COMPLETE,2026-03-15
L000873,Y,N,Y,Y,Y,COMPLETE,2026-05-31
L000874,Y,N,Y,N,Y,COMPLETE,2025-09-14
L000875,Y,Y,Y,N,Y,COMPLETE,2026-08-09
L000876,Y,N,N,N,Y,MISSING,2026-04-05
L000877,Y,Y,Y,N,Y,COMPLETE,2026-06-04
L000878,Y,Y,N,Y,Y,COMPLETE,2026-03-20
L000879,Y,N,Y,Y,Y,COMPLETE,2025-11-13
L000880,N,Y,N,Y,Y,INCOMPLETE,2026-01-01
L000881,N,Y,N,Y,N,INCOMPLETE,2025-09-07
L000882,Y,Y,Y,N,N,COMPLETE,2025-10-30
L000883,Y,N,Y,N,Y,COMPLETE,2026-01-25
L000884,Y,Y,N,N,N,COMPLETE,2026-04-20
L000885,N,N,N,Y,N,COMPLETE,2026-05-03
L000886,Y,N,N,N,N,COMPLETE,2025-11-29
L000887,Y,Y,Y,N,N,COMPLETE,2026-07-18
L000888,Y,N,Y,N,N,INCOMPLETE,2026-05-31
L000889,Y,N,Y,N,Y,COMPLETE,2026-03-11
L000890,Y,Y,Y,N,Y,COMPLETE,2026-06-06
L000891,Y,N,Y,N,Y,INCOMPLETE,2025-10-28
L000892,Y,N,Y,N,Y,MISSING,2026-01-12
L000893,N,Y,Y,N,Y,COMPLETE,2025-12-07
L000894,Y,N,Y,N,Y,COMPLETE,2026-06-05
L000895,N,Y,N,N,Y,INCOMPLETE,2026-08-17
L000896,N,Y,N,Y,Y,INCOMPLETE,2025-12-10
L000897,Y,Y,Y,Y,Y,COMPLETE,2026-08-08
L000898,Y,N,Y,N,Y,COMPLETE,2026-08-03
